,year,tair_mean,tair_std,nirr_mean,nirr_std,precip_sum,vapor_press_mean,vapor_press_std
123,2024,-2.0157537,13.635630421826107,96.45777,85.52779491951493,558.88,520.7596,395.3923542524268
0,2025,1.4333333,13.635604058285953,95.06503,83.37482045265138,431.0,580.0,383.168604951747
1,2026,3.4,11.064603619913237,96.25784,82.01261195297849,477.0,621.6667,419.43323953192174
2,2027,0.13333347,15.14699691844853,100.44437,87.84120062797928,320.0,571.6667,475.08531863184896
3,2028,-0.73333323,13.566290715345083,98.912994,80.85654486321269,505.0,537.5,421.92470700875936
4,2029,3.0583332,11.997534645783972,96.63421,80.70403383367577,538.0,622.5,429.18792158007375
5,2030,1.2749997,11.226439983114245,97.689255,84.69667330173655,532.0,550.0,393.6542100434861
6,2031,-1.8333331,15.471459215409213,96.77109,84.21327409551293,477.0,520.8333,391.0000783143701
7,2032,3.0,12.37659095110915,100.763596,89.89230621594413,409.0,618.3333,441.6257898467446
8,2033,4.4166665,12.187910127516313,101.9957,97.09441705713317,424.0,645.8333,466.23166856919806
9,2034,3.675,11.016856779413779,99.83255,86.91814893538815,397.0,630.0,434.9712621748857
10,2035,1.2916666,11.14780531160944,90.141075,74.8094492818158,519.0,565.0,425.3875238585935
11,2036,0.3750001,13.046150748769735,104.75771,94.63303216486982,440.0,539.1667,414.30024908059687
12,2037,4.7666664,10.540772079216028,99.029625,86.18691766719942,421.0,674.1667,447.03992771305894
13,2038,2.1166666,11.976555348343476,98.01973,90.0307210034366,478.0,589.1667,415.9427002592426
14,2039,2.2666667,12.069068967183286,98.221596,91.72212797722517,579.0,613.3333,454.2192777838235
15,2040,3.516667,10.406364730423284,99.983246,89.73398728130331,439.0,600.0,414.59728543601085
16,2041,1.9583334,11.78538833341138,92.3709,77.54316512329848,510.0,588.3333,409.6524765153404
17,2042,2.0833333,12.769838857304135,101.06534,92.18652124447388,529.0,599.1667,444.53159255866706
18,2043,-0.80833334,14.645536580929386,95.96668,82.38639859972704,548.0,562.5,468.42336543413444
19,2044,3.0,12.078305200091435,102.97117,90.6629282616308,448.0,618.3333,461.29921926767844
20,2045,3.9083333,11.996473528076722,103.36505,92.73136451574356,509.0,643.3333,451.65017301876327
21,2046,-0.28333342,14.634630808625621,105.63742,91.22101259505797,475.0,570.0,495.7271970764075
22,2047,2.3833332,10.91711172310556,90.88952,82.52247686697943,711.0,622.5,477.2863650109947
23,2048,0.9500002,13.036696551904068,100.37874,81.67045350739598,410.0,577.5,450.90061678432687
24,2049,2.6,10.688481428967084,89.102425,73.31006952915294,568.0,598.3333,416.21308525705933
25,2050,1.5666666,12.643455668272196,93.5528,76.86435972569319,547.0,615.0,498.91701531556055
26,2051,2.7666667,11.83341423935245,100.049194,88.790266331303,493.0,575.8333,391.7433828141845
27,2052,4.225,14.382509898370147,104.353745,92.81308614091824,514.0,660.8333,496.4319686920012
28,2053,2.4583333,13.553158593834326,98.78318,86.2336996444561,503.0,637.5,472.1734072932005
29,2054,-2.1083333,15.013900217739854,99.11212,87.56489474235711,486.0,525.8333,450.9274932546351
30,2055,2.4083333,12.773869785295018,101.348236,91.93911489305022,601.0,615.8333,447.9541067473133
31,2056,4.2166667,11.61048375119814,103.38548,95.12895909484698,585.0,641.6667,461.12182049143297
32,2057,5.2916665,11.08663876275638,96.98876,87.04321887830719,601.0,676.6667,427.98329370261155
33,2058,2.1000001,10.659097825824002,92.1217,76.59333751034083,594.0,600.0,434.57398386472676
34,2059,3.1583333,12.750718742570811,100.72496,91.09865581075123,572.0,651.6667,462.0671580150111
35,2060,4.633333,10.476496184754254,95.19401,85.05435885184781,616.0,681.6667,475.44877177361724
36,2061,3.6583333,11.435785752639706,92.74271,82.25214688939272,699.0,684.1667,488.1962994852132
37,2062,6.15,12.229138281638962,109.62687,102.78493172074222,440.0,710.8333,494.63409042035806
38,2063,7.75,11.331653222623698,110.12946,100.60628660570312,401.0,731.6667,488.5755449671469
39,2064,6.616667,11.304128927914814,101.61599,93.01968302707864,565.0,729.1667,482.5774955692461
40,2065,3.375,13.37094051600822,92.17568,79.32096490773745,599.0,665.0,452.75921906718645
41,2066,2.525,13.066064608217575,94.057144,86.39415936004148,563.0,625.8333,482.0120393315981
42,2067,2.6666665,10.890557385874061,95.03159,81.14690760854624,543.0,630.0,465.40305112880384
43,2068,2.7583332,12.007835319599499,95.95791,85.02463920510297,479.0,614.1667,466.9914984067528
44,2069,4.8916664,8.697278335931978,89.94136,74.9871582579735,689.0,659.1667,386.25140829223335
45,2070,4.1666665,11.464834468846275,99.47534,85.74804757368659,515.0,640.8333,415.15513970316476
46,2071,2.8166666,12.987114807743453,92.88195,80.9664160362775,468.0,656.6667,512.9120664195646
47,2072,1.3499999,14.89908462565803,105.41596,91.32872823072502,413.0,612.5,536.9971191835282
48,2073,2.1750002,13.400551132176687,92.235115,79.08042897950662,548.0,627.5,486.86613321482844
49,2074,4.4666667,11.86808809442927,85.32827,74.39382278730194,660.0,702.5,474.8995109015648
50,2075,5.7166667,11.096669069270096,96.28608,82.70952945180746,476.0,716.6666,481.6511759259492
51,2076,7.191667,10.164417463553296,99.822975,91.93249249842776,539.0,747.5,467.70474206153705
52,2077,6.3166666,11.266267846152363,100.75149,97.26258405337583,521.0,702.5,443.1114178613348
53,2078,7.55,11.200121970720133,102.0369,94.49931267836297,581.0,775.8333,510.97871318936615
54,2079,4.4083333,11.606460394934732,98.330765,82.93545318538077,532.0,676.6667,482.9894348402032
55,2080,2.275,12.406605527311553,99.12541,86.86573944451578,517.0,626.6667,493.58306743520683
56,2081,4.15,14.068759744097807,106.31428,95.41693528398207,484.0,686.6667,515.8811246915064
57,2082,4.55,11.744902167705408,107.388115,96.75406802598513,599.0,690.0,528.5486116914768
58,2083,4.741667,11.74636954285393,92.30496,86.02658117912284,586.0,686.6667,467.37824536709473
59,2084,6.475,11.366547779643271,96.73514,91.89144930712196,503.0,748.3333,510.89641817580747
