cmt,exp,time,z,VWCLAYER,TLAYER
black_spruce,burn_1990,2065-01-03,0.3,0.2966950345402548,3.9788121034119914
black_spruce,burn_1990,2066-01-03,0.3,0.3007457627177058,4.333724672524105
black_spruce,burn_1990,2067-01-03,0.3,0.29497737564178106,5.784716955143173
black_spruce,burn_1990,2068-01-03,0.3,0.31419283459078284,4.51623616268096
black_spruce,burn_1990,2069-01-03,0.3,0.3055228470379913,3.3231202440113545
black_spruce,burn_1990,2070-01-03,0.3,0.31012685530924516,2.941123638076658
black_spruce,burn_1990,2071-01-03,0.3,0.31759250356266183,4.552650115490171
black_spruce,burn_1990,2072-01-03,0.3,0.31348593118978174,5.861694097141139
black_spruce,burn_1990,2073-01-03,0.3,0.3008391312607625,6.3021752558888755
black_spruce,burn_1990,2074-01-03,0.3,0.2942493063636858,6.348842256323246
black_spruce,burn_1990,2075-01-03,0.3,0.29149239289627366,7.0958757457841175
black_spruce,burn_1990,2076-01-03,0.3,0.2881287152312332,6.517032135074645
black_spruce,burn_1990,2077-01-03,0.3,0.29620934103260216,4.084526182421272
black_spruce,burn_1990,2078-01-03,0.3,0.2948029847435615,5.730487296753339
black_spruce,burn_1990,2079-01-03,0.3,0.2893684286898326,5.483591409886555
black_spruce,burn_1990,2080-01-03,0.3,0.29474853182047667,5.484787596668992
black_spruce,burn_1990,2081-01-03,0.3,0.29941001040828685,4.914921354787335
black_spruce,burn_1990,2082-01-03,0.3,0.29093885264611974,5.826908912054744
black_spruce,burn_1990,2083-01-03,0.3,0.2979865706357045,5.538651248415201
black_spruce,burn_1990,2084-01-03,0.3,0.2930161138604343,6.900325842039064
black_spruce,burn_1990,2085-01-03,0.3,0.28241564653751317,8.392953910677953
black_spruce,burn_1990,2086-01-03,0.3,0.2773757916931174,9.157844517867023
black_spruce,burn_1990,2087-01-03,0.3,0.2849102322056621,7.56192634466721
black_spruce,burn_1990,2088-01-03,0.3,0.3007398132894852,5.385756964336457
black_spruce,burn_1990,2089-01-03,0.3,0.2893188865882072,8.251069647487464
black_spruce,burn_1990,2090-01-03,0.3,0.2917385080779241,6.996931059411588
black_spruce,burn_1990,2091-01-03,0.3,0.30733623168434215,6.096033732711287
black_spruce,burn_1990,2092-01-03,0.3,0.29774043225572583,6.871574731899936
black_spruce,burn_1990,2093-01-03,0.3,0.2850386987719778,8.670679053137276
black_spruce,burn_1990,2094-01-03,0.3,0.30691915009544507,6.921524677916118
black_spruce,burn_1990,2095-01-03,0.3,0.3067984420517017,6.518371637433707
black_spruce,burn_1990,2096-01-03,0.3,0.3002055080841359,6.785657339400255
black_spruce,burn_1990,2097-01-03,0.3,0.3043050179602517,6.465098800109065
black_spruce,burn_1990,1901-01-01,0.4,0.4398205415883513,-3.5099704346327805
black_spruce,burn_1990,1902-01-01,0.4,0.43941625530549927,-3.47088988472641
black_spruce,burn_1990,1903-01-01,0.4,0.4371237526287116,-4.896126574516586
black_spruce,burn_1990,1904-01-01,0.4,0.4393458795394211,-5.923515848289494
black_spruce,burn_1990,1905-01-01,0.4,0.43903941787554723,-4.032521712928967
black_spruce,burn_1990,1906-01-01,0.4,0.43652820539358866,-3.666970629232219
black_spruce,burn_1990,1907-01-01,0.4,0.43899556848389115,-3.543552999469941
black_spruce,burn_1990,1908-01-01,0.4,0.43793954145341335,-3.0656225198604607
black_spruce,burn_1990,1909-01-01,0.4,0.43882745035607185,-3.9740164585249618
black_spruce,burn_1990,1910-01-01,0.4,0.4397831327246026,-3.865116710797465
black_spruce,burn_1990,1911-01-01,0.4,0.4397153121594041,-3.2189431824827763
black_spruce,burn_1990,1912-01-01,0.4,0.4395806115703626,-3.492967873648815
black_spruce,burn_1990,1913-01-01,0.4,0.43863640496738965,-3.9290120853955206
black_spruce,burn_1990,1914-01-01,0.4,0.43965744193813466,-3.5295115559402674
black_spruce,burn_1990,1915-01-01,0.4,0.43961966860428947,-3.617080427023191
black_spruce,burn_1990,1916-01-01,0.4,0.43986976507617753,-3.645801703803881
black_spruce,burn_1990,1917-01-01,0.4,0.43950736288326836,-4.193387709675216
black_spruce,burn_1990,1918-01-01,0.4,0.4394408071660582,-6.157204814350602
black_spruce,burn_1990,1919-01-01,0.4,0.4397850724908492,-4.530978121049428
black_spruce,burn_1990,1920-01-01,0.4,0.4383735478211394,-2.9580636067738673
black_spruce,burn_1990,1921-01-01,0.4,0.4381064822266375,-2.3538553690341306
black_spruce,burn_1990,1922-01-01,0.4,0.4398837979094817,-2.867385120012942
black_spruce,burn_1990,1923-01-01,0.4,0.4367465852045255,-3.7769127165832677
black_spruce,burn_1990,1924-01-01,0.4,0.43977564328257673,-5.249481817038188
black_spruce,burn_1990,1925-01-01,0.4,0.4339416288290885,-3.646573427382169
black_spruce,burn_1990,1926-01-01,0.4,0.4343029813145524,-1.6092385914474023
black_spruce,burn_1990,1927-01-01,0.4,0.4296274468062929,-2.9216350022439594
black_spruce,burn_1990,1928-01-01,0.4,0.4328206905166037,-2.2270125788139574
black_spruce,burn_1990,1929-01-01,0.4,0.4394738021071119,-1.3420724766229857
black_spruce,burn_1990,1930-01-01,0.4,0.43998214656338197,-3.5237599671897852
black_spruce,burn_1990,1931-01-01,0.4,0.43998448164223575,-3.2640317074641296
black_spruce,burn_1990,1932-01-01,0.4,0.4399295840140798,-4.428406401859157
black_spruce,burn_1990,1933-01-01,0.4,0.4377008431796975,-5.083035097212844
black_spruce,burn_1990,1934-01-01,0.4,0.43941627989634063,-3.3931050181128293
black_spruce,burn_1990,1935-01-01,0.4,0.43997064886115844,-3.77812792897546
black_spruce,burn_1990,1936-01-01,0.4,0.4399699406433318,-2.0662268678126647
black_spruce,burn_1990,1937-01-01,0.4,0.4395562739255439,-2.338484932042914
black_spruce,burn_1990,1938-01-01,0.4,0.4367831349883676,-3.858203370363299
black_spruce,burn_1990,1939-01-01,0.4,0.43969386691719453,-4.11212604110836
black_spruce,burn_1990,1940-01-01,0.4,0.4306610588303835,-3.0721269643101388
black_spruce,burn_1990,1941-01-01,0.4,0.4372264147883995,-3.2826124442781413
black_spruce,burn_1990,1942-01-01,0.4,0.43870686830125627,-3.0285077302428207
black_spruce,burn_1990,1943-01-01,0.4,0.4329203184851964,-3.6351811381273813
