cmt,exp,year,burn_year,GPP,RECO,NEE,NPP,RH,RG,RM,VEGC,LTRFALC,SHLWC,DEEPC,MINEC,total_soil_carbon,ALD,BURNVEG2AIRC,BURNSOIC,total_burn_emissions,years_since_fire
birch,burn_1960,2083,1960,738.0099932322973,729.0690070583353,-8.940986173962074,275.83386822165266,266.8928893422165,150.90607293637004,311.2700447797488,4055.4794056873266,253.11885473207758,49.188150410850845,2053.185973962769,16708.37654866744,18810.750673041057,5.2827254143153475,0.0,0.0,0.0,123
birch,burn_1960,2084,1960,820.181414624919,766.9182580185519,-53.26315660636703,309.2622042756336,255.99904705811528,163.34732334766886,347.5718876127678,4099.494976144013,261.47791823694206,47.338603327671684,2051.534179840237,16699.320966448635,18798.193749616545,5.282487723010605,0.0,0.0,0.0,124
birch,burn_1960,2085,1960,877.6700445753577,818.4915012639515,-59.1785433114062,338.157777894692,278.9792368532609,182.65504287300428,356.8572215376863,4152.9589869286865,267.8057751133226,49.13431970278422,2048.0070162769407,16685.182753215544,18782.32408919527,5.282746709639118,0.0,0.0,0.0,125
birch,burn_1960,2086,1960,799.5978811409223,783.2492803500436,-16.348600790878663,292.15407139234776,275.8054675952763,159.67419536213856,347.7696173926288,4190.986068556124,265.42489524926054,48.08974259595076,2043.860982934013,16672.05241327267,18764.003138802636,5.282439302867717,0.0,0.0,0.0,126
birch,burn_1960,2087,1960,879.3396658294223,863.0282985854487,-16.311367243973564,312.53064580819,296.21928433032286,178.23785562484045,388.5711586302855,4227.984167374632,272.09211862023426,41.41795669992765,2038.020425349474,16655.2554024579,18734.6937845073,5.28230711905233,0.0,0.0,0.0,127
birch,burn_1960,2088,1960,892.5793209522717,847.5976219666522,-44.98169898561946,323.41852575028133,278.4368416660809,179.43564526530326,389.72513503526807,4275.665917303393,277.27598594315396,42.73217470447222,2034.492447632365,16636.676227895543,18713.90085023238,5.2815510828444845,0.0,0.0,0.0,128
birch,burn_1960,2089,1960,976.1897547842473,916.0291795325893,-60.160575251657974,364.9219801410536,304.7614264758813,192.59056230186252,418.67719075484547,4340.194387979378,283.4197789836112,39.73007092873255,2025.2842602338642,16610.18955867365,18675.203889836248,5.281908445339372,0.0,0.0,0.0,129
birch,burn_1960,2090,1960,894.0604333056508,842.375764209412,-51.68466909623885,347.43827652142727,295.75362618001236,178.41672803620986,368.20540999318973,4400.865046732244,283.05352092325575,46.60715469469627,2024.0157108576968,16587.290012589656,18657.912878142048,5.281989121376572,0.0,0.0,0.0,130
birch,burn_1960,2091,1960,773.355770839863,793.8412793192317,20.48550847936872,274.48679919928963,294.97232628941856,157.8331540896022,341.03579894021095,4423.503302672083,270.24750347959866,53.73416141668955,2025.208569303155,16574.09887601901,18653.041606738854,5.2820835173028815,0.0,0.0,0.0,131
birch,burn_1960,2092,1960,879.4973622094403,863.2869634504864,-16.210398758953943,316.96645631691354,300.7560340939017,179.4243983464944,383.1065310100903,4445.780244891647,272.8142568474152,42.178579653302826,2020.318163016811,16557.415486111306,18619.91222878142,5.2816466594379365,0.0,0.0,0.0,132
birch,burn_1960,2093,1960,821.3120779780147,778.6084586138365,-42.70361936417817,300.4310441148,257.7274167990879,168.4433058135819,352.43773600116674,4480.5181757312575,281.91362945783976,52.65727387368679,2021.6327128447592,16546.28689812217,18620.576884840615,5.28119505120938,0.0,0.0,0.0,133
birch,burn_1960,2094,1960,750.3902004211777,773.7182854301091,23.32808500893134,261.12021652873136,284.4483195555258,152.39018956242217,336.8797763121611,4458.892140479409,272.3246887993032,54.87147319316864,2022.7048011943698,16536.939524847083,18614.51579923462,5.282261470746352,0.0,0.0,0.0,134
