,time,x,y,layer,z,type,LWCLAYER
271,1923-08-01,1,0,0,0.05,1.0,0.07294283050448291
272,1923-09-01,1,0,0,0.05,1.0,0.1411125828460807
273,1923-10-01,1,0,0,0.05,1.0,0.12368938671308985
274,1923-11-01,1,0,0,0.05,1.0,0.0007564011072023549
275,1923-12-01,1,0,0,0.05,1.0,0.0
276,1924-01-01,1,0,0,0.05,1.0,0.0
277,1924-02-01,1,0,0,0.05,1.0,0.0
278,1924-03-01,1,0,0,0.05,1.0,0.0
279,1924-04-01,1,0,0,0.05,1.0,0.0
280,1924-05-01,1,0,0,0.05,1.0,0.07638955881998508
281,1924-06-01,1,0,0,0.05,1.0,0.08792320574267301
282,1924-07-01,1,0,0,0.05,1.0,0.10420806739325504
283,1924-08-01,1,0,0,0.05,1.0,0.1379496345743219
284,1924-09-01,1,0,0,0.05,1.0,0.1665698238140744
285,1924-10-01,1,0,0,0.05,1.0,0.034399925236075615
286,1924-11-01,1,0,0,0.05,1.0,0.0
287,1924-12-01,1,0,0,0.05,1.0,0.0
288,1925-01-01,1,0,0,0.05,1.0,0.0
289,1925-02-01,1,0,0,0.05,1.0,0.0
290,1925-03-01,1,0,0,0.05,1.0,0.0
291,1925-04-01,1,0,0,0.05,1.0,0.038083153177301
292,1925-05-01,1,0,0,0.05,1.0,0.09353475414673224
293,1925-06-01,1,0,0,0.05,1.0,0.07246175493466524
294,1925-07-01,1,0,0,0.05,1.0,0.0861178126656179
295,1925-08-01,1,0,0,0.05,1.0,0.0787506187982257
296,1925-09-01,1,0,0,0.05,1.0,0.1604783861509323
297,1925-10-01,1,0,0,0.05,1.0,0.1304148781702708
298,1925-11-01,1,0,0,0.05,1.0,0.0005954971132869353
299,1925-12-01,1,0,0,0.05,1.0,0.0
300,1926-01-01,1,0,0,0.05,1.0,0.0
301,1926-02-01,1,0,0,0.05,1.0,0.0
302,1926-03-01,1,0,0,0.05,1.0,0.0
303,1926-04-01,1,0,0,0.05,1.0,0.08626061793220932
304,1926-05-01,1,0,0,0.05,1.0,0.10364665804557538
305,1926-06-01,1,0,0,0.05,1.0,0.08289949621447021
306,1926-07-01,1,0,0,0.05,1.0,0.10325320772437424
307,1926-08-01,1,0,0,0.05,1.0,0.11040524598272605
308,1926-09-01,1,0,0,0.05,1.0,0.169255253069444
309,1926-10-01,1,0,0,0.05,1.0,0.11942468459342545
310,1926-11-01,1,0,0,0.05,1.0,0.0
311,1926-12-01,1,0,0,0.05,1.0,0.0
312,1927-01-01,1,0,0,0.05,1.0,0.0
313,1927-02-01,1,0,0,0.05,1.0,0.0
314,1927-03-01,1,0,0,0.05,1.0,0.0
315,1927-04-01,1,0,0,0.05,1.0,0.0
316,1927-05-01,1,0,0,0.05,1.0,0.0855320661925573
317,1927-06-01,1,0,0,0.05,1.0,0.08412683285300417
318,1927-07-01,1,0,0,0.05,1.0,0.07203313974493267
319,1927-08-01,1,0,0,0.05,1.0,0.09596749081326203
320,1927-09-01,1,0,0,0.05,1.0,0.1291192172605526
321,1927-10-01,1,0,0,0.05,1.0,0.020238666725095122
322,1927-11-01,1,0,0,0.05,1.0,0.0
323,1927-12-01,1,0,0,0.05,1.0,0.0
324,1928-01-01,1,0,0,0.05,1.0,0.0
325,1928-02-01,1,0,0,0.05,1.0,0.0
326,1928-03-01,1,0,0,0.05,1.0,0.0
327,1928-04-01,1,0,0,0.05,1.0,0.020129135077792598
328,1928-05-01,1,0,0,0.05,1.0,0.08664313494711454
329,1928-06-01,1,0,0,0.05,1.0,0.09284734086117266
330,1928-07-01,1,0,0,0.05,1.0,0.07855764500622325
331,1928-08-01,1,0,0,0.05,1.0,0.091927683902673
332,1928-09-01,1,0,0,0.05,1.0,0.1314577255087731
333,1928-10-01,1,0,0,0.05,1.0,0.05362966748221146
334,1928-11-01,1,0,0,0.05,1.0,0.0
335,1928-12-01,1,0,0,0.05,1.0,0.0
336,1929-01-01,1,0,0,0.05,1.0,0.0
337,1929-02-01,1,0,0,0.05,1.0,0.0
338,1929-03-01,1,0,0,0.05,1.0,0.0
339,1929-04-01,1,0,0,0.05,1.0,0.011230885208105109
340,1929-05-01,1,0,0,0.05,1.0,0.1831846177439389
341,1929-06-01,1,0,0,0.05,1.0,0.10775291863453416
342,1929-07-01,1,0,0,0.05,1.0,0.1627278411709815
343,1929-08-01,1,0,0,0.05,1.0,0.15405002749582064
344,1929-09-01,1,0,0,0.05,1.0,0.11603421548619344
345,1929-10-01,1,0,0,0.05,1.0,0.09513165402660323
346,1929-11-01,1,0,0,0.05,1.0,0.0
347,1929-12-01,1,0,0,0.05,1.0,0.0
348,1930-01-01,1,0,0,0.05,1.0,0.0
349,1930-02-01,1,0,0,0.05,1.0,0.0
350,1930-03-01,1,0,0,0.05,1.0,0.0
351,1930-04-01,1,0,0,0.05,1.0,0.014867594820599118
352,1930-05-01,1,0,0,0.05,1.0,0.10889435735834696
353,1930-06-01,1,0,0,0.05,1.0,0.09915319467721972
354,1930-07-01,1,0,0,0.05,1.0,0.09530576287361905
355,1930-08-01,1,0,0,0.05,1.0,0.22068482335780878
356,1930-09-01,1,0,0,0.05,1.0,0.20497455044927965
357,1930-10-01,1,0,0,0.05,1.0,0.07621350092126015
358,1930-11-01,1,0,0,0.05,1.0,0.0
359,1930-12-01,1,0,0,0.05,1.0,0.0
360,1931-01-01,1,0,0,0.05,1.0,0.0
361,1931-02-01,1,0,0,0.05,1.0,0.0
362,1931-03-01,1,0,0,0.05,1.0,0.0
363,1931-04-01,1,0,0,0.05,1.0,0.006947925711348769
364,1931-05-01,1,0,0,0.05,1.0,0.07934666674365026
365,1931-06-01,1,0,0,0.05,1.0,0.09087941160824863
366,1931-07-01,1,0,0,0.05,1.0,0.09365851320235284
367,1931-08-01,1,0,0,0.05,1.0,0.1349539341658416
368,1931-09-01,1,0,0,0.05,1.0,0.18868083917783596
369,1931-10-01,1,0,0,0.05,1.0,0.08410470699347064
370,1931-11-01,1,0,0,0.05,1.0,0.0
371,1931-12-01,1,0,0,0.05,1.0,0.0
372,1932-01-01,1,0,0,0.05,1.0,0.0
373,1932-02-01,1,0,0,0.05,1.0,0.0
374,1932-03-01,1,0,0,0.05,1.0,0.0
375,1932-04-01,1,0,0,0.05,1.0,0.07213962519137983
376,1932-05-01,1,0,0,0.05,1.0,0.09418530257541187
377,1932-06-01,1,0,0,0.05,1.0,0.08460591698213432
378,1932-07-01,1,0,0,0.05,1.0,0.11773607372644855
379,1932-08-01,1,0,0,0.05,1.0,0.17028614132975847
380,1932-09-01,1,0,0,0.05,1.0,0.20269424352948934
381,1932-10-01,1,0,0,0.05,1.0,0.08950821400735841
382,1932-11-01,1,0,0,0.05,1.0,0.0
383,1932-12-01,1,0,0,0.05,1.0,0.0
384,1933-01-01,1,0,0,0.05,1.0,0.0
385,1933-02-01,1,0,0,0.05,1.0,0.0
386,1933-03-01,1,0,0,0.05,1.0,0.0
387,1933-04-01,1,0,0,0.05,1.0,0.03284863018812995
388,1933-05-01,1,0,0,0.05,1.0,0.07455880934601813
389,1933-06-01,1,0,0,0.05,1.0,0.0945543285780693
390,1933-07-01,1,0,0,0.05,1.0,0.09703277853409185
391,1933-08-01,1,0,0,0.05,1.0,0.12755071651872307
392,1933-09-01,1,0,0,0.05,1.0,0.12237480750815369
393,1933-10-01,1,0,0,0.05,1.0,0.017163424186381157
394,1933-11-01,1,0,0,0.05,1.0,0.0
395,1933-12-01,1,0,0,0.05,1.0,0.0
396,1934-01-01,1,0,0,0.05,1.0,0.0
397,1934-02-01,1,0,0,0.05,1.0,0.0
398,1934-03-01,1,0,0,0.05,1.0,0.0
399,1934-04-01,1,0,0,0.05,1.0,0.051642913196327675
400,1934-05-01,1,0,0,0.05,1.0,0.08867476757959664
401,1934-06-01,1,0,0,0.05,1.0,0.05876209077334748
402,1934-07-01,1,0,0,0.05,1.0,0.08513688313086157
403,1934-08-01,1,0,0,0.05,1.0,0.13275427145579372
404,1934-09-01,1,0,0,0.05,1.0,0.12770205081643785
405,1934-10-01,1,0,0,0.05,1.0,0.10054640947076529
406,1934-11-01,1,0,0,0.05,1.0,0.0
407,1934-12-01,1,0,0,0.05,1.0,0.0
408,1935-01-01,1,0,0,0.05,1.0,0.0
409,1935-02-01,1,0,0,0.05,1.0,0.0
410,1935-03-01,1,0,0,0.05,1.0,0.0
411,1935-04-01,1,0,0,0.05,1.0,0.007955381463032925
412,1935-05-01,1,0,0,0.05,1.0,0.07734885934716425
413,1935-06-01,1,0,0,0.05,1.0,0.09655926593278558
414,1935-07-01,1,0,0,0.05,1.0,0.10502122908748208
415,1935-08-01,1,0,0,0.05,1.0,0.1267423327354846
416,1935-09-01,1,0,0,0.05,1.0,0.17994041936822514
417,1935-10-01,1,0,0,0.05,1.0,0.09142185842642772
418,1935-11-01,1,0,0,0.05,1.0,0.0
419,1935-12-01,1,0,0,0.05,1.0,0.0
420,1936-01-01,1,0,0,0.05,1.0,0.0
421,1936-02-01,1,0,0,0.05,1.0,0.0
422,1936-03-01,1,0,0,0.05,1.0,0.0
423,1936-04-01,1,0,0,0.05,1.0,0.01782717159662495
424,1936-05-01,1,0,0,0.05,1.0,0.11345784065907821
425,1936-06-01,1,0,0,0.05,1.0,0.07603128755243166
426,1936-07-01,1,0,0,0.05,1.0,0.11169723288209152
427,1936-08-01,1,0,0,0.05,1.0,0.17459381610630845
428,1936-09-01,1,0,0,0.05,1.0,0.19456956873026582
429,1936-10-01,1,0,0,0.05,1.0,0.13964164377430863
430,1936-11-01,1,0,0,0.05,1.0,0.003806654814130915
431,1936-12-01,1,0,0,0.05,1.0,0.0
432,1937-01-01,1,0,0,0.05,1.0,0.0
433,1937-02-01,1,0,0,0.05,1.0,0.0
434,1937-03-01,1,0,0,0.05,1.0,0.0
435,1937-04-01,1,0,0,0.05,1.0,0.0017831706422077672
436,1937-05-01,1,0,0,0.05,1.0,0.1074438048315072
437,1937-06-01,1,0,0,0.05,1.0,0.0587619920479506
438,1937-07-01,1,0,0,0.05,1.0,0.09137068752773458
439,1937-08-01,1,0,0,0.05,1.0,0.17004255934192272
440,1937-09-01,1,0,0,0.05,1.0,0.16506359358180317
441,1937-10-01,1,0,0,0.05,1.0,0.1261897026172957
442,1937-11-01,1,0,0,0.05,1.0,0.0
443,1937-12-01,1,0,0,0.05,1.0,0.0
444,1938-01-01,1,0,0,0.05,1.0,0.0
445,1938-02-01,1,0,0,0.05,1.0,0.0
446,1938-03-01,1,0,0,0.05,1.0,0.0
447,1938-04-01,1,0,0,0.05,1.0,0.06427707710234594
448,1938-05-01,1,0,0,0.05,1.0,0.06625083139862559
449,1938-06-01,1,0,0,0.05,1.0,0.060321895336535154
450,1938-07-01,1,0,0,0.05,1.0,0.11456962183477931
451,1938-08-01,1,0,0,0.05,1.0,0.14905619816465251
452,1938-09-01,1,0,0,0.05,1.0,0.15468557684598686
453,1938-10-01,1,0,0,0.05,1.0,0.1467461741435397
454,1938-11-01,1,0,0,0.05,1.0,0.0015812814388597154
455,1938-12-01,1,0,0,0.05,1.0,0.0
456,1939-01-01,1,0,0,0.05,1.0,0.0
457,1939-02-01,1,0,0,0.05,1.0,0.0
458,1939-03-01,1,0,0,0.05,1.0,0.0
459,1939-04-01,1,0,0,0.05,1.0,0.04945326341573322
460,1939-05-01,1,0,0,0.05,1.0,0.06403300868172132
461,1939-06-01,1,0,0,0.05,1.0,0.101761063401787
462,1939-07-01,1,0,0,0.05,1.0,0.10717524246396604
463,1939-08-01,1,0,0,0.05,1.0,0.1335919670856313
