date,RECO_black_spruce_modeled,GPP_black_spruce_modeled,NEE_black_spruce_modeled,RECO_birch_modeled,GPP_birch_modeled,NEE_birch_modeled,GPP_observed_RF,RECO_observed_RF,NEE_observed_RF,GPP_observed_oneflux,RECO_observed_oneflux,NEE_observed_oneflux,tair,nirr,precip
2021-04-01,17.85818855017351,0.0,17.85818855017351,7.953931552406175,0.0,7.953931552406175,2.03283565725438,12.627739828962,10.59490657519686,11.39415358905657,21.2428463665986,9.81974290290993,-2.5235138,181.91487,27.642
2021-05-01,68.21222119294544,80.03021340919076,-11.81799221624533,72.98920716399152,69.0559041845463,3.933302979445216,44.6170445887104,22.11024099528,-22.5067824899388,81.28386020116261,56.56372777215,-24.905227343367955,8.565542,226.4862,9.01
2021-06-01,116.85556885502956,153.57998768391553,-36.72441882888597,101.7046846723506,123.19053575934777,-21.485851086997172,66.2210896681728,28.54384664526,-37.677237983757,140.97407663591855,87.84369230034599,-51.42853905954176,14.861352,239.39975,23.74
2021-07-01,137.23528679609808,181.7319360776455,-44.496649281547434,95.79409935783133,120.11770219921164,-24.323602841380307,65.98143700007094,35.253618354,-30.7277259885126,144.36286577226718,99.964328542848,-43.17780845950248,15.909567,215.15286,37.95
2021-08-01,129.90167288459634,149.2112065385445,-19.309533653948165,89.87064587249824,94.55184155327788,-4.681195680779638,37.276070556828415,38.6354701773,1.3593357650069997,101.94718254835053,93.82689299498398,-7.519906411467851,11.35063,116.68884,126.402
2021-09-01,86.8932110404894,65.3397569093213,21.55345413116811,46.25684651331903,44.49822449701969,1.7586220162993413,39.1081626107559,49.84394660514,10.735813644552,49.81048957153737,61.206922620234,12.590263114946186,4.18097,95.13283,8.864
2021-10-01,20.29756332897432,0.0,20.29756332897432,9.316831764321705,0.0,9.316831764321705,-0.55704266588448,17.1672872409,17.7243289348392,12.31552230648246,33.84633768057,21.457654171788423,-2.430344,30.829475,18.34
2021-11-01,3.090457049734141,0.0,3.090457049734141,1.4525684669771408,0.0,1.4525684669771408,-0.26270997811218,5.1190124196132,5.381729010455399,3.266540604760523,6.7070409359508,3.396001344574889,-17.938215,6.0604167,16.108
2021-12-01,2.189570663937957,0.0,2.189570663937957,1.0165359186705132,0.0,1.0165359186705132,-0.302392090698858,5.299464411543599,5.6018580029424,3.826174177475406,5.575888882320444,2.036220480906472,-17.624338,1.1583602,128.79
2022-01-01,1.8997213793709307,0.0,1.8997213793709307,0.8801063323458749,0.0,0.8801063323458749,-0.4498728553809719,4.5802197354798,5.03009191391472,3.8262467702870455,4.027211937857881,0.2365426629659541,-18.494005,3.5453825,12.808
2022-02-01,3.1461878942045587,0.0,3.1461878942045587,1.4342544704601892,0.0,1.4342544704601892,-0.124633734233256,5.032230365609999,5.156866147975813,1.9342291864430696,3.5782296790932,1.6276088332425176,-15.753026,20.957552,30.202
2022-03-01,8.943654344343486,0.0,8.943654344343486,4.029952848268863,0.0,4.029952848268863,0.8886690886772339,8.326425911634,7.437763148664599,3.539715555765276,9.366303335418,5.94209380574861,-8.453226,96.23704,2.202
2022-04-01,19.615708450402053,0.0,19.615708450402053,8.886666625516227,0.0,8.886666625516227,-1.0790802693964798,9.56174862528,10.6408308584556,10.405792334207058,18.997863984144,8.606582703217658,-1.4308048,201.12222,1.602
2022-05-01,78.68186579379108,97.30035402058274,-18.61848822679167,83.57835299280214,82.46821033629203,1.1101426565101065,34.8315800032125,18.25506090018,-16.576495242164995,65.99751472195271,52.8794374266,-3.3253164553770587,7.941428,222.60799,36.394
2022-06-01,130.9731436020702,151.2341068313399,-20.26096322926969,108.77474754394916,122.98395218497899,-14.209204641029828,67.1513152411782,26.32842038592,-40.822909157727,120.91413696022872,76.94646930719999,-40.10625984546383,14.791825,263.9302,9.73
2022-07-01,142.23457988489463,184.92516115747276,-42.69058127257813,79.08320907614143,119.02633690846687,-39.943127832325445,51.1476059699388,34.453602973619994,-16.694035124990396,146.80641412718728,130.16146803138,50.34725544438573,15.280454,192.68587,33.582
2022-08-01,134.55424757535002,158.91275397571735,-24.358506400367332,91.39973300967085,100.81950324074842,-9.419770231077564,39.782734382676594,40.22632344852,0.4435673765040001,126.74578132977696,122.90715208962,2.3524167867045795,12.299416,144.73747,47.358
2022-09-01,97.80920881871862,82.30552518490003,15.503683633818582,56.3237463244709,53.07231579237623,3.2514305320946733,37.7198796176219,56.882870523,19.16297636643,69.20300112758213,99.32134942746,31.38895869010333,6.6762743,75.94099,40.672
2022-10-01,22.536502647451925,0.0,22.536502647451925,9.060255122662511,0.0,9.060255122662511,9.60209651603826,26.38423525158,16.782157397712595,14.36527320758046,35.783542614654,21.758442952118298,-4.2349973,34.32979,27.794
2022-11-01,5.4306925956816485,0.0,5.4306925956816485,2.4857839352452515,0.0,2.4857839352452515,-0.0222737021298719,6.743688383501998,6.765958509928199,2.3386240155452755,4.896106333448398,2.5068328000353968,-13.485489,6.41525,22.918
2022-12-01,2.2178217344580844,0.0,2.2178217344580844,1.0252333113559473,0.0,1.0252333113559473,-0.1748821689239399,5.236140817211759,5.4110184258186,1.660144138104078,4.583300784917562,3.569429109644452,-18.282585,1.9018165,42.388
2023-01-01,2.3317168541807405,0.0,2.3317168541807405,1.0739097061881182,0.0,1.0739097061881182,0.3967717328442,3.497433649289999,3.100662617085179,3.435231584467253,3.444988477136948,-0.0640846121260157,-16.877028,3.486112,25.89
